Date,Open,High,Low,Close,Adj Close,Volume
01/12/2016,57.34,59.540001,55.400002,55.52,50.618675,165872700
01/01/2017,55.91,59.0,54.880001,55.220001,50.345161,188760500
01/02/2017,55.490002,57.849998,53.810001,56.869999,51.849499,196153900
01/03/2017,57.27,58.66,54.09,58.389999,53.475193,225544200
01/04/2017,58.279999,61.939999,57.380001,60.060001,55.004627,181381100
01/05/2017,60.0,63.610001,58.869999,63.610001,58.255821,160468800
01/06/2017,63.509998,64.870003,57.959999,58.310001,53.621906,170396300
01/07/2017,58.900002,59.66,53.41,53.98,49.640038,221103700
01/08/2017,54.57,56.119999,52.580002,54.860001,50.449287,235679800
01/09/2017,54.900002,55.599998,53.049999,53.709999,49.614704,184484300
01/10/2017,53.860001,56.43,53.66,54.84,50.658554,178855400
01/11/2017,55.099998,58.139999,54.049999,57.82,53.411335,215270200
01/12/2017,57.5,60.049999,56.459999,57.43,53.332111,175171000
01/01/2018,57.950001,61.939999,56.549999,56.810001,52.756348,242647700
01/02/2018,56.279999,57.919998,53.560001,57.099998,53.025654,238536700
01/03/2018,57.0,60.700001,55.68,57.889999,54.050873,185897700
01/04/2018,57.52,60.18,55.380001,57.57,53.752094,178446500
01/05/2018,57.669998,59.040001,55.540001,56.669998,52.911777,150516400
01/06/2018,56.84,57.939999,47.369999,48.849998,45.848888,338561600
01/07/2018,48.639999,52.849998,48.400002,52.389999,49.171413,244824000
01/08/2018,88.0,88.0,88.0,88.0,88.0,88
01/09/2018,53.439999,57.84,53.209999,56.84,53.719421,177505500
01/10/2018,56.91,59.700001,54.709999,58.27,55.070919,285962000
01/11/2018,58.299999,68.980003,58.07,66.720001,63.057007,326988900
01/12/2018,67.370003,68.150002,60.419998,64.400002,61.191162,250212000
01/01/2019,63.68,69.489998,61.400002,68.139999,64.744812,276732200
01/02/2019,68.589996,72.07,67.080002,70.260002,66.759186,215346400
01/03/2019,70.629997,74.480003,69.029999,74.339996,71.004524,192665200
01/04/2019,74.760002,77.790001,73.730003,77.68,74.194672,146496900
01/05/2019,77.669998,79.650002,74.330002,76.059998,72.647354,168825900
01/06/2019,76.120003,85.199997,75.650002,83.830002,80.440178,163305800
01/07/2019,84.620003,99.720001,84.029999,94.690002,90.861038,166015600
01/08/2019,95.0,98.139999,93.029999,96.559998,92.655403,142069000
01/09/2019,96.419998,97.209999,87.610001,88.419998,85.166168,134511100
01/10/2019,88.629997,88.889999,82.129997,84.559998,81.448219,137892400
01/11/2019,84.790001,86.730003,81.029999,85.43,82.286201,138762700
01/12/2019,85.379997,89.300003,83.82,87.919998,85.107887,132545100
01/01/2020,88.120003,94.129997,84.519997,84.830002,82.116722,170390700
01/02/2020,85.07,90.510002,75.720001,78.43,75.921425,167202600
01/03/2020,77.919998,82.620003,50.02,65.739998,63.933903,445364500
01/04/2020,63.0,79.610001,60.900002,76.730003,74.621971,282837600
01/05/2020,74.900002,80.059998,70.650002,77.989998,75.847351,201828600
01/06/2020,77.660004,83.620003,71.059998,73.589996,71.972687,258280600
01/07/2020,74.0,78.489998,71.82,76.529999,74.848076,185587300
01/08/2020,76.480003,85.360001,74.760002,84.470001,82.613571,155854300
01/09/2020,84.699997,89.43,81.75,85.919998,84.488823,161248300
01/10/2020,87.040001,91.129997,85.089996,86.959999,85.511505,145178700
01/11/2020,87.540001,99.330002,85.449997,98.019997,96.387276,142204300
01/12/2020,99.0,107.139999,98.209999,106.980003,105.694092,121635500
01/01/2021,107.660004,107.75,95.919998,96.809998,95.646332,123895000
01/02/2021,96.989998,109.480003,96.919998,108.029999,106.731461,115469700
01/03/2021,108.599998,112.339996,102.75,109.269997,108.416161,163152800
01/04/2021,110.059998,118.980003,108.199997,114.489998,113.595375,127018100
01/05/2021,115.18,116.739998,108.879997,113.879997,112.990135,113824900
01/06/2021,114.559998,114.620003,109.260002,111.809998,111.377708,106401000
01/07/2021,111.949997,126.32,111.809998,121.43,120.96051,123984700
01/08/2021,122.029999,122.980003,113.610001,117.489998,117.035744,114452800
01/09/2021,118.010002,120.760002,110.309998,110.309998,110.309998,115994200
01/10/2021,110.889999,115.57,104.019997,106.07,106.07,133475800
01/11/2021,107.230003,117.330002,107.199997,116.910004,116.910004,50614200
01/12/2021,888.0,888.0,888.0,888.0,888.0,888
